Date,Open,High,Low,Close,Adj Close,Volume
10/5/2018,20570,20584,20321,20346,20346,447419400
10/8/2018,20167,20175,19812,19851,19851,474856100
10/9/2018,19926,20138,19679,20062,20062,574460900
10/10/2018,19918,20138,19719,19719,19719,532764400
10/11/2018,19425,19664,19348,19357,19357,535548600
10/12/2018,19523,19572,19255,19256,19256,433328500
10/15/2018,19218,19336,19167,19288,19288,311385700
10/16/2018,19338,19725,19247,19718,19718,418407300
10/17/2018,19787,19912,19393,19455,19455,352218900
10/18/2018,19410,19598,19088,19088,19088,448478500
10/19/2018,19015,19193,18754,19080,19080,601303900
10/22/2018,19427,19467,18928,18966,18966,446271100
10/23/2018,18763,18955,18705,18802,18802,471285200
10/24/2018,18878,18925,18474,18485,18485,410557100
10/25/2018,18434,18832,18411,18815,18815,507402500
10/26/2018,18722,18726,18418,18683,18683,445580600
10/29/2018,18938,19212,18836,19040,19040,442158800
10/30/2018,19076,19181,18852,18999,18999,431529900
10/31/2018,19168,19229,19016,19050,19050,476919500
11/1/2018,19015,19282,18979,19185,19185,343925600
11/2/2018,19372,19529,19339,19390,19390,399937500
11/5/2018,19394,19397,19280,19281,19281,298059100
11/6/2018,19321,19321,19073,19268,19268,334516300
11/7/2018,19385,19609,19383,19541,19541,361676200
11/8/2018,19576,19624,19383,19429,19429,451450500
11/9/2018,19304,19334,19133,19258,19258,490169600
11/12/2018,19329,19369,19056,19056,19056,444952200
11/13/2018,19100,19257,18932,19227,19227,397377100
11/14/2018,19017,19257,18858,19077,19077,402957800
11/15/2018,19164,19223,18756,18905,18905,349894400
11/16/2018,19038,19098,18782,18878,18878,395682400
11/19/2018,18926,19134,18823,18823,18823,387883800
11/20/2018,18760,18808,18454,18471,18471,463635700
11/21/2018,18653,18784,18512,18732,18732,415493000
11/22/2018,18653,18765,18515,18603,18603,314663600
11/23/2018,18620,18783,18598,18715,18715,337560400
11/26/2018,19037,19320,19037,19233,19233,549808900
11/27/2018,19247,19310,19101,19150,19150,414608800
11/28/2018,19194,19250,19087,19115,19115,429815500
11/29/2018,19292,19339,19060,19160,19160,403505400
11/30/2018,19228,19235,19072,19189,19189,394511000
