Date,Open Price,Close Price,High Price,Low Price,Volume
05-Mar-2019,7134.39,7183.43,7191.65,7127.18,643010624
06-Mar-2019,7183.43,7196.00,7211.83,7170.25,638260864
07-Mar-2019,7196.00,7157.55,7196.00,7126.57,699151552
08-Mar-2019,7157.55,7104.31,7157.55,7077.93,613787456
11-Mar-2019,7104.31,7130.62,7181.61,7104.31,662599040
12-Mar-2019,7130.62,7151.15,7166.55,7083.22,729836480
13-Mar-2019,7151.15,7159.19,7181.85,7128.71,675643520
14-Mar-2019,7159.19,7185.43,7215.45,7148.08,797644160
15-Mar-2019,7185.43,7228.28,7243.80,7185.43,1366658688
18-Mar-2019,7228.28,7299.19,7299.19,7228.19,640028160
19-Mar-2019,7299.19,7324.00,7350.10,7294.50,597093184
20-Mar-2019,7324.00,7291.01,7341.57,7291.01,707708096
21-Mar-2019,7291.01,7355.31,7370.61,7290.62,706145984
22-Mar-2019,7355.31,7207.59,7356.37,7192.76,684163456
25-Mar-2019,7207.59,7177.58,7208.09,7146.83,549151360
26-Mar-2019,7177.58,7196.29,7221.02,7169.37,641562752
27-Mar-2019,7196.29,7194.19,7222.64,7160.14,680537152
28-Mar-2019,7194.19,7234.33,7265.47,7190.87,581012608
29-Mar-2019,7234.33,7279.19,7287.72,7223.30,801408896
01-Apr-2019,7279.19,7317.38,7352.15,7279.19,694631808
02-Apr-2019,7317.38,7391.12,7403.56,7316.81,734189696
03-Apr-2019,7391.12,7418.28,7418.31,7380.93,882395712
04-Apr-2019,7418.28,7401.94,7418.43,7367.44,616457152
05-Apr-2019,7401.94,7446.87,7461.39,7400.79,687339776
08-Apr-2019,7446.87,7451.89,7459.93,7420.41,551354688
09-Apr-2019,7451.89,7425.57,7477.62,7413.27,614881984
10-Apr-2019,7425.57,7421.91,7441.36,7409.39,581284416
11-Apr-2019,7421.91,7417.95,7441.89,7383.47,630678272
12-Apr-2019,7417.95,7437.06,7454.78,7415.00,687700416
15-Apr-2019,7437.06,7436.87,7447.08,7420.27,516545440
16-Apr-2019,7436.87,7469.92,7485.93,7436.87,600342272
17-Apr-2019,7469.92,7471.32,7478.95,7445.12,654628288
18-Apr-2019,7471.32,7459.88,7475.91,7437.87,534117120
23-Apr-2019,7459.88,7523.07,7528.93,7459.88,708410176
24-Apr-2019,7523.07,7471.75,7523.79,7456.74,682392960
25-Apr-2019,7471.75,7434.13,7473.32,7405.99,670187648
26-Apr-2019,7434.13,7428.19,7442.39,7398.57,842299392
29-Apr-2019,7428.19,7440.66,7456.49,7406.53,495643264
30-Apr-2019,7440.66,7418.22,7451.32,7394.07,751807680
01-May-2019,7418.22,7385.26,7446.46,7379.65,319461792
02-May-2019,7385.26,7351.31,7393.94,7339.45,612843200
03-May-2019,7351.31,7380.64,7418.17,7350.01,469168480
07-May-2019,7380.64,7260.47,7380.64,7251.03,835844160
08-May-2019,7260.47,7271.00,7278.32,7222.88,823786560
09-May-2019,7271.00,7207.41,7271.00,7192.18,865269760
10-May-2019,7207.41,7203.29,7268.17,7189.86,571845632
13-May-2019,7203.29,7163.68,7217.12,7150.89,729042048
14-May-2019,7163.68,7241.60,7241.60,7163.68,711870848
15-May-2019,7241.60,7296.95,7308.10,7223.08,809625152
16-May-2019,7296.95,7353.51,7353.51,7265.77,659322240
17-May-2019,7353.51,7348.62,7354.22,7307.33,704237888
20-May-2019,7348.62,7310.88,7360.34,7268.63,717480640
21-May-2019,7310.88,7328.92,7370.02,7310.88,762244224
22-May-2019,7328.92,7334.19,7373.27,7313.55,809145408
23-May-2019,7334.19,7231.04,7334.19,7211.33,809749696
24-May-2019,7231.04,7277.73,7303.04,7231.01,639043136
28-May-2019,7277.73,7268.95,7314.85,7262.80,1185021184
29-May-2019,7268.95,7185.30,7268.95,7151.37,658358080
30-May-2019,7185.30,7218.16,7236.68,7180.57,598658176
31-May-2019,7218.16,7161.71,7218.16,7130.85,834867072
03-Jun-2019,7161.71,7184.80,7186.71,7079.71,694940992
04-Jun-2019,7184.80,7214.29,7223.96,7138.14,836250176
05-Jun-2019,7216.74,7220.22,7259.24,7201.36,728239488
06-Jun-2019,7220.22,7259.85,7275.66,7218.67,634648320
