Date,BIT_price,ETH_price
2019-09-28,8146.4140320046,172.9975519826
2019-09-29,8085.713290421801,171.0073196817
2019-09-30,8241.3414700027,177.9168791987
2019-10-01,8333.689190421701,176.9313025671
2019-10-02,8273.4640176573,178.61226289900003
2019-10-03,8203.8438327979,175.1317829483
2019-10-04,8163.9026381024,176.865898508
2019-10-05,8137.1466890387,176.0604430049
2019-10-06,7853.6933048347,169.4697137162
2019-10-07,8236.2083793045,181.4028512955
2019-10-08,8201.6378181926,180.7891908418
2019-10-09,8572.3808124348,193.151232685
2019-10-10,8582.1445177037,192.19819924700002
2019-10-11,8320.1715813968,181.0085295243
2019-10-12,8328.6042603935,180.7913299807
2019-10-13,8282.1773258265,181.5366658398
2019-10-14,8337.8189985374,186.12382705599998
2019-10-15,8337.8189985374,186.12382705599998
2019-10-16,8003.8203947876,174.75408315259997
2019-10-17,8058.0580811125,176.3901046425
2019-10-18,7970.2394756046,173.75008887319999
2019-10-19,7943.3471070605,171.15851284020002
2019-10-20,8200.3187633988,174.66938468939998
2019-10-21,8200.2460994923,173.7658273815
2019-10-22,8073.4095438836,171.3018586023
2019-10-23,7420.415836492801,159.54310463040002
2019-10-24,7460.617415927901,161.0687513033
2019-10-25,8591.2238974163,179.9804506089
2019-10-26,9171.3065318558,177.413932298
2019-10-27,9578.3675560737,184.93328686389998
2019-10-28,9458.2233596272,183.9328015641
2019-10-29,9455.7246926058,192.38850436229998
2019-10-30,9225.9954793378,183.3652157781
2019-10-31,9131.4106303055,181.5668036255
2019-11-01,9197.632344620699,182.873979546
2019-11-02,9290.8966023936,182.8533039537
2019-11-03,9202.41545055,182.2438145131
2019-11-04,9369.6280811552,185.3686817257
2019-11-05,9326.599623784101,188.8571937095
2019-11-06,9335.752402330501,191.05860734240002
2019-11-07,9226.4858208826,187.0749396053
2019-11-08,8794.3586445233,184.4694666775
2019-11-09,8798.042054625601,185.19159919450001
2019-11-10,9081.1868784913,189.72273326180002
2019-11-11,8711.5343391679,185.3595169522
2019-11-12,8760.8927181435,186.3251476172
2019-11-13,8749.520591019,187.2511139834
2019-11-14,8656.970922354,184.8074617077
2019-11-15,8500.643558162199,180.72497196
2019-11-16,8469.2608988992,182.10674341979998
2019-11-17,8537.3396519676,184.19214195830003
2019-11-18,8205.8063659942,178.4221816961
2019-11-19,8118.4885358003,175.59369351580003
2019-11-20,8074.8431736099,174.7796503518
2019-11-21,7612.7405735023995,160.5179612026
2019-11-22,7262.1105349483,149.5245321915
2019-11-23,7303.405758524201,152.1362450315
2019-11-24,7041.7329364242005,144.3152880154
2019-11-25,7211.8618087461,146.98181217229998
2019-11-26,7141.0694486946995,148.006881793
2019-11-27,7523.480672600501,152.9572770475
2019-11-28,7390.207469227,150.4119794112
2019-11-29,7729.265938935,153.673809539
2019-11-30,7542.2356086361,151.6554239752
2019-12-01,7381.9630078152,151.55290380969998
2019-12-02,7333.4329304881,149.4546546609
2019-12-03,7315.3677645579,147.8113219421
2019-12-04,7213.7337617194,145.60333855870002
2019-12-05,7398.787049606899,147.8270036017
2019-12-06,7511.8805831153,148.6504041144
2019-12-07,7532.1235130864,147.8712516108
2019-12-08,7550.2391998746,151.41067994510001
2019-12-09,7333.0960431601,147.1595338869
2019-12-10,7239.762575441,145.7973190251
2019-12-11,7198.0666770463,143.01080440299998
2019-12-12,7190.2723692612,144.51010368069998
2019-12-13,7238.8743229875,144.4855855195
2019-12-14,7087.0249853497,142.0555393225
2019-12-15,7112.7314761241005,142.6819305388
2019-12-16,6883.4963937703005,132.34357870879998
2019-12-17,6584.0288433458,120.879816225
2019-12-18,7424.0154002314,133.8778331329
2019-12-19,7147.5683237876,127.27368140530001
2019-12-20,7139.933370530101,127.37527548879999
2019-12-21,7286.3350811573,129.8708364029
2019-12-22,7236.9862046092,128.9106173166
2019-12-23,7166.1723785327,125.0138243959
2019-12-24,7235.6266504955,128.0056504074
2019-12-25,7212.8093952216,125.3335415778
2019-12-26,7183.706536029599,125.2582992782
2019-12-27,7227.2937116818,126.149213913
2019-12-28,7311.5606439230005,128.0111453111
2019-12-29,7385.464847913,134.7680350143
2019-12-30,7251.2767943228,132.0730737137
2019-12-31,7179.9578192867,128.7226035036
2020-01-01,7174.7440119511,129.8873633242
2020-01-02,6955.4875796712,127.05560087469999
2020-01-03,7291.2195053189,132.9708331543
2020-01-04,7337.6366701377,133.8206207495
2020-01-05,7347.433264439201,134.83425220040002
2020-01-06,7713.860753649599,143.1316009393
2020-01-07,8039.603700818299,142.133414011
2020-01-08,8067.606369056401,140.3393936759
2020-01-09,7808.7013638165,137.4949989813
2020-01-10,8087.4528852359,142.8347833627
2020-01-11,8078.993531990301,143.0715916414
2020-01-12,8149.313717146801,145.28099365149998
2020-01-13,8116.9610079465,143.9369170091
2020-01-14,8735.1424391365,163.8546314577
2020-01-15,8843.6757322237,166.5383398703
2020-01-16,8711.6375778988,163.9372081347
2020-01-17,8925.299028445601,171.5889767813
2020-01-18,8939.8643002492,176.7004339689
2020-01-19,8638.1814404614,166.0633101409
2020-01-20,8652.6837629859,167.5725368448
2020-01-21,8708.786013433,169.05449164569998
2020-01-22,8635.0743569587,167.1518344609
2020-01-23,8384.0887767671,162.67141669629999
2020-01-24,8451.2322960209,162.8065223703
2020-01-25,8347.567505406,160.9178681144
2020-01-26,8562.307470442,166.7218659174
2020-01-27,8881.9623914604,169.8001125623
2020-01-28,9131.1149880642,173.5481484134
2020-01-29,9320.9784062486,175.4603220555
2020-01-30,9545.077956589399,186.2620413732
2020-01-31,9388.8807518859,181.72843420959998
2020-02-01,9363.1933827575,182.7739888825
2020-02-02,9385.260385841899,189.3125531442
2020-02-03,9269.7070348447,189.25759285729998
2020-02-04,9177.8946372066,188.6750821693
2020-02-05,9625.4566372011,204.5305348023
2020-02-06,9681.377411309499,211.2924866236
2020-02-07,9795.3440659492,221.8331393853
2020-02-08,9927.7782564213,224.0294271926
2020-02-09,10132.706499106,228.0443089591
2020-02-10,9838.9000162764,223.31963780150002
2020-02-11,10236.6351482326,237.8783454792
2020-02-12,10364.9262882252,268.39626770990003
2020-02-13,10218.0997373046,266.251814938
2020-02-14,10367.5279981077,284.0004908975
2020-02-15,9926.353690569,267.35318625729997
2020-02-16,9876.234963205201,255.3551842166
2020-02-17,9636.624094815501,261.13723068080003
2020-02-18,10189.9959829746,281.3812072446
2020-02-19,9701.0371914987,265.1448245328
2020-02-20,9631.4849459561,259.714134462
2020-02-21,9670.858654371501,263.9493850062
2020-02-22,9689.086742848101,262.57323384439997
2020-02-23,9919.5514478418,272.842806741
2020-02-24,9640.4695050585,263.8974852045
2020-02-25,9392.8696287195,251.9396762368
2020-02-26,8787.9783631624,225.6910701407
2020-02-27,8784.9953524383,228.5854083328
2020-02-28,8778.470510802099,229.7854127591
2020-02-29,8639.5914172977,223.4992880371
2020-03-01,8548.9483224221,218.7777359829
2020-03-02,8923.044398255899,230.8129519843
2020-03-03,8791.1120581303,224.6566350887
2020-03-04,8756.9610624113,223.52773468819998
2020-03-05,9078.5787771302,229.4143467317
2020-03-06,9126.6368222216,240.49008172490002
2020-03-07,8925.2134877789,240.5548523654
2020-03-08,8166.3138940249,204.4108196421
2020-03-09,7875.750875218299,198.977350888
2020-03-10,7959.2282742121,203.1258771789
2020-03-11,7955.3062841815,194.42778399009998
2020-03-12,5800.2089048343005,127.2928961752
2020-03-13,5672.681201031601,134.821028807
2020-03-14,5304.149952186,124.97461472639999
2020-03-15,5355.1873735338,123.7851092569
2020-03-16,4944.7023359837,107.89834478510001
2020-03-17,5465.582594124,118.3424035726
2020-03-18,5363.8228532507,116.60659784229999
2020-03-19,6301.0634040736995,140.8145457143
2020-03-20,6185.2798385235,131.7531579935
2020-03-21,6187.0537502172,133.0816861128
2020-03-22,5884.3401334651,123.2739471992
2020-03-23,6455.454688251501,133.5701413598
2020-03-24,6784.3180114254,140.1136998719
2020-03-25,6706.9850891337,136.24966194790002
2020-03-26,6721.4953923809,136.6194963443
2020-03-27,6682.7800491951,137.3184524143
2020-03-28,6229.4883428258,131.2719316892
2020-03-29,5922.4898350923995,125.7283385468
2020-03-30,6483.7394455297,133.7604753284
2020-03-31,6446.4213468415,133.8929305752
2020-04-01,6537.3364615033,133.652561146
2020-04-02,6850.558711690601,142.5059265378
2020-04-03,6776.370093566,141.9206657029
2020-04-04,6855.9332644576,144.1399041259
2020-04-05,6805.3622868989005,143.4993181165
2020-04-06,7278.243969765799,165.9462413993
2020-04-07,7175.6674765579,166.4521496289
2020-04-08,7367.293398450201,172.8180918913
2020-04-09,7321.8166138877,170.898713977
2020-04-10,6866.3981890103005,158.3075978475
2020-04-11,6873.848495157,158.0101429539
2020-04-12,7043.4388635241,162.02302301
2020-04-13,6889.863772348101,158.3185448242
2020-04-14,6887.5549078330005,159.7720237128
2020-04-15,6718.7999502834,155.7292612634
2020-04-16,7166.5828171387,174.0709971712
2020-04-17,7065.0823890422,170.41574209889998
2020-04-18,7277.140585563101,188.14787211380002
2020-04-19,7185.87030343,182.8541797091
2020-04-20,6856.146434544599,171.3567484442
2020-04-21,6904.4757726979005,173.0543256318
2020-04-22,7118.3887479246,182.209943997
2020-04-23,7562.0328317455005,189.04115100020002
2020-04-24,7497.8617638281,186.79217663080001
2020-04-25,7542.303400703199,193.6154221891
2020-04-26,7624.853785923199,195.0902574962
2020-04-27,7776.5075425684,197.0252359564
2020-04-28,7761.7587840758,197.31022491099998
2020-04-29,8773.1064879583,215.2002836303
2020-04-30,8767.6726233679,210.6202341702
2020-05-01,8853.7744840141,212.35967019490002
2020-05-02,8963.057557797,214.7327163811
2020-05-03,8904.713816537,210.186762411
2020-05-04,8887.5058925872,207.62094391349999
2020-05-05,8978.2835871237,205.092216255
2020-05-06,9371.684272791701,206.1612678004
2020-05-07,9900.678866615,212.97076839599998
2020-05-08,9917.248414342199,213.61200278290002
2020-05-09,9617.5181949278,211.37273515599998
2020-05-10,8786.655181651,188.6446608457
2020-05-11,8608.125245038,186.01477546490003
2020-05-12,8815.2312449023,189.8181868394
2020-05-13,9330.986484701,199.471247703
2020-05-14,9757.2965855933,203.76942080060002
2020-05-15,9362.6355569661,196.1392798869
2020-05-16,9418.918550505101,201.4660091385
2020-05-17,9684.7019593528,207.40477941080002
2020-05-18,9723.680150453101,214.5257267984
2020-05-19,9719.4808544776,213.6812562322
2020-05-20,9540.8865665842,209.8536710415
2020-05-21,9141.150637421,200.2877989063
2020-05-22,9192.8451358053,208.0416960737
2020-05-23,9220.0758874664,207.6257022565
2020-05-24,9048.7151191611,206.452974771
2020-05-25,8905.781604538399,204.038221714
2020-05-26,8835.7272240409,201.2088663208
2020-05-27,9112.9791755927,206.10065560310002
2020-05-28,9507.5246646633,216.51787440130002
2020-05-29,9425.2818691896,220.50191663740003
2020-05-30,9688.324390372,243.6303481192
2020-05-31,9427.6700841394,231.2504175786
2020-06-01,10268.581984733299,250.0599160501
2020-06-02,9516.1354430882,237.30906528580002
2020-06-03,9667.060754259499,244.5193627884
2020-06-04,9811.367094602,243.4132803896
2020-06-05,9659.661298189201,240.76637858490002
2020-06-06,9677.0509945125,242.3213962566
2020-06-07,9737.458558786,243.825655085
2020-06-08,9791.927899768101,247.0407955737
2020-06-09,9786.142020478199,244.54285067360001
2020-06-10,9874.967047524,247.4454296066
2020-06-11,9260.8326409877,230.5056339076
2020-06-12,9464.2280968215,237.2197469187
2020-06-13,9458.6597544046,238.2201400896
2020-06-14,9351.9537280097,232.6132804986
2020-06-15,9441.7689955465,231.2550027053
2020-06-16,9510.6606372934,234.7509210246
2020-06-17,9457.6270744096,234.03102602139998
2020-06-18,9398.6420936216,231.80593834080003
