Country,Date,total_cases,total_deaths,Gold Price per tr oz,Silver Price per tr oz,Exchange to USD,BIT_price,ETH_price,Stock_Price,Stock Index,ad_Gold_Price,ad_Silver_Price
France,2019-01-07,0.0,0.0,1127.4,13.64,1.1468,3989.6317409326,149.6001646386,4719.169922,CAC 40,983.083362399721,11.893965817928148
Canada,2019-01-07,0.0,0.0,1720.4,20.82,1.3297,3989.6317409326,149.6001646386,14504.099609,S&P/TSX,1293.8256749642776,15.657667142964577
Italy,2019-01-07,0.0,0.0,1127.4,13.64,1.1468,3989.6317409326,149.6001646386,18953.0,FTSE MIB,983.083362399721,11.893965817928148
Japan,2019-01-07,0.0,0.0,140126.2,1697.92,108.62,3989.6317409326,149.6001646386,20038.970703,Nikkei,1290.0589210090222,15.631743693610753
China,2019-01-07,0.0,0.0,8851.2,107.19,6.8501,3989.6317409326,149.6001646386,2533.089111,SSE,1292.1271222317923,15.647946745302987
India,2019-01-07,0.0,0.0,90047.0,1090.46,69.78,3989.6317409326,149.6001646386,10771.799805,NSE,1290.4413872169675,15.627113786185154
United Kingdom,2019-01-07,0.0,0.0,1012.1,12.2484,1.2757,3989.6317409326,149.6001646386,6810.88,FTSE 100,793.3683467899976,9.601316924041702
Brazil,2019-01-08,0.0,0.0,4793.13,58.15,3.7204,3992.9861439065003,148.9541572482,92032.0,BOVESPA,1288.3372755617675,15.630039780668744
United States,2019-01-08,0.0,0.0,1286.5,15.655,1.0,3992.9861439065003,148.9541572482,6897.0,NASDAQ,1286.5,15.655
Germany,2019-01-08,0.0,0.0,1124.4,13.69,1.1444,3992.9861439065003,148.9541572482,10803.980469,DAX,982.5235931492485,11.96260048933939
France,2019-01-08,0.0,0.0,1124.4,13.69,1.1444,3992.9861439065003,148.9541572482,4773.27002,CAC 40,982.5235931492485,11.96260048933939
Canada,2019-01-08,0.0,0.0,1709.4,20.79,1.3307,3992.9861439065003,148.9541572482,14605.200195,S&P/TSX,1284.5870594423989,15.623356128353498
Italy,2019-01-08,0.0,0.0,1124.4,13.69,1.1444,3992.9861439065003,148.9541572482,19000.0,FTSE MIB,982.5235931492485,11.96260048933939
Japan,2019-01-08,0.0,0.0,139740.6,1699.0,108.57,3992.9861439065003,148.9541572482,20204.039063,Nikkei,1287.1014092290688,15.648890116975224
China,2019-01-08,0.0,0.0,8820.5,107.25,6.8519,3992.9861439065003,148.9541572482,2526.461914,SSE,1287.3071702739387,15.652592711510676
India,2019-01-08,0.0,0.0,90299.1,1096.32,70.11,3992.9861439065003,148.9541572482,10802.150391,NSE,1287.9632006846384,15.63714163457424
United Kingdom,2019-01-08,0.0,0.0,1010.4,12.3157,1.2724,3992.9861439065003,148.9541572482,6861.6,FTSE 100,794.0899088337001,9.679110342659541
Brazil,2019-01-09,0.0,0.0,4761.06,57.98,3.6832,3995.3251931641,149.4467337191,93613.0,BOVESPA,1292.6422675933973,15.741746307558644
United States,2019-01-09,0.0,0.0,1288.6,15.745,1.0,3995.3251931641,149.4467337191,6957.080078,NASDAQ,1288.6,15.745
Germany,2019-01-09,0.0,0.0,1119.5,13.64,1.1524,3995.3251931641,149.4467337191,10893.320313,DAX,971.4508851093369,11.836167997223185
France,2019-01-09,0.0,0.0,1119.5,13.64,1.1524,3995.3251931641,149.4467337191,4813.580078,CAC 40,971.4508851093369,11.836167997223185
Canada,2019-01-09,0.0,0.0,1706.2,20.8,1.3212,3995.3251931641,149.4467337191,14804.700195,S&P/TSX,1291.4017559794127,15.74326369966697
Italy,2019-01-09,0.0,0.0,1119.5,13.64,1.1524,3995.3251931641,149.4467337191,19179.0,FTSE MIB,971.4508851093369,11.836167997223185
Japan,2019-01-09,0.0,0.0,139420.1,1699.58,108.38,3995.3251931641,149.4467337191,20427.060547,Nikkei,1286.4006274220337,15.681675585901457
China,2019-01-09,0.0,0.0,8805.0,107.35,6.8117,3995.3251931641,149.4467337191,2544.344971,SSE,1292.628859168783,15.759648839496748
India,2019-01-09,0.0,0.0,90878.5,1107.92,70.42,3995.3251931641,149.4467337191,10855.150391,NSE,1290.5211587617155,15.733030389094008
United Kingdom,2019-01-09,0.0,0.0,1011.3,12.3121,1.2764,3995.3251931641,149.4467337191,6906.63,FTSE 100,792.3064869946725,9.64595738013162
Brazil,2019-01-10,0.0,0.0,4812.22,57.78,3.6915,3617.3462911588,126.5650300753,93806.0,BOVESPA,1303.5947446837329,15.652173913043478
United States,2019-01-10,0.0,0.0,1291.9,15.564,1.0,3617.3462911588,126.5650300753,6986.069823999998,NASDAQ,1291.9,15.564
Germany,2019-01-10,0.0,0.0,1121.3,13.53,1.1517,3617.3462911588,126.5650300753,10921.589844,DAX,973.6042372145524,11.74785100286533
France,2019-01-10,0.0,0.0,1121.3,13.53,1.1517,3617.3462911588,126.5650300753,4805.660156,CAC 40,973.6042372145524,11.74785100286533
Canada,2019-01-10,0.0,0.0,1709.2,20.6,1.3232,3617.3462911588,126.5650300753,14903.5,S&P/TSX,1291.7170495767837,15.568319226118502
Italy,2019-01-10,0.0,0.0,1121.3,13.53,1.1517,3617.3462911588,126.5650300753,19301.0,FTSE MIB,973.6042372145524,11.74785100286533
Japan,2019-01-10,0.0,0.0,139796.5,1684.54,108.29,3617.3462911588,126.5650300753,20163.800781,Nikkei,1290.9456090128358,15.555822328931571
China,2019-01-10,0.0,0.0,8759.1,105.64,6.7875,3617.3462911588,126.5650300753,2535.099121,SSE,1290.4751381215472,15.56390423572744
India,2019-01-10,0.0,0.0,91020.8,1094.65,70.43,3617.3462911588,126.5650300753,10821.599609,NSE,1292.3583700127786,15.54238250745421
United Kingdom,2019-01-10,0.0,0.0,1011.1,12.2088,1.2768,3617.3462911588,126.5650300753,6942.87,FTSE 100,791.9016290726818,9.56203007518797
Brazil,2019-01-11,0.0,0.0,4803.64,57.9,3.7073,3606.1648903844,123.5910350506,93658.0,BOVESPA,1295.7246513635262,15.617835082135246
United States,2019-01-11,0.0,0.0,1289.0,15.601,1.0,3606.1648903844,123.5910350506,6971.47998,NASDAQ,1289.0,15.601
Germany,2019-01-11,0.0,0.0,1123.0,13.6,1.1479,3606.1648903844,123.5910350506,10887.459961,DAX,978.3082150013068,11.847721926997126
France,2019-01-11,0.0,0.0,1123.0,13.6,1.1479,3606.1648903844,123.5910350506,4781.339844,CAC 40,978.3082150013068,11.847721926997126
Canada,2019-01-11,0.0,0.0,1708.6,20.7,1.3256,3606.1648903844,123.5910350506,14939.200195,S&P/TSX,1288.9257694628848,15.615570307785156
