"Date","Price","Open","High","Low","Change %"
"Aug 13, 2020","21.0409","19.5673","21.1984","19.3929","7.65%"
"Aug 12, 2020","19.5459","19.0072","20.1346","18.0022","2.91%"
"Aug 11, 2020","18.9923","22.2703","22.3769","18.7260","-14.65%"
"Aug 10, 2020","22.2520","21.7106","22.4648","21.3263","2.58%"
"Aug 07, 2020","21.6924","21.9844","22.7279","21.0382","-1.35%"
"Aug 06, 2020","21.9902","20.5543","22.1336","20.4175","6.99%"
"Aug 05, 2020","20.5536","19.8951","20.6685","19.4051","3.31%"
"Aug 04, 2020","19.8960","18.6087","19.9132","18.4893","6.92%"
"Aug 03, 2020","18.6087","18.6460","19.0003","18.4193","-0.06%"
"Jul 31, 2020","18.6206","17.9531","18.6971","17.7641","3.69%"
"Jul 30, 2020","17.9573","18.6921","18.8888","17.6040","-3.94%"
"Jul 29, 2020","18.6942","18.8873","19.1772","17.9992","-1.02%"
"Jul 28, 2020","18.8873","19.0918","20.3258","17.4009","-1.07%"
"Jul 27, 2020","19.0918","17.8085","19.1089","17.7591","7.24%"
"Jul 24, 2020","17.8027","17.7419","17.9468","17.5907","0.35%"
"Jul 23, 2020","17.7412","18.0815","18.2605","17.4889","-1.88%"
"Jul 22, 2020","18.0815","16.7249","18.1485","16.7085","8.10%"
"Jul 21, 2020","16.7269","15.7410","16.7305","15.6309","6.30%"
"Jul 20, 2020","15.7360","15.3879","15.7463","15.3489","2.23%"
"Jul 17, 2020","15.3928","15.2684","15.4628","15.0653","0.80%"
"Jul 16, 2020","15.2704","15.4363","15.4760","15.1945","-1.09%"
"Jul 15, 2020","15.4387","15.3156","15.4732","15.1429","0.80%"
"Jul 14, 2020","15.3169","15.1944","15.3772","15.0653","0.83%"
"Jul 13, 2020","15.1913","14.8232","15.3996","14.7898","2.46%"
"Jul 10, 2020","14.8272","14.8034","14.9070","14.6887","0.16%"
"Jul 09, 2020","14.8039","14.8561","15.0659","14.6654","-0.34%"
"Jul 08, 2020","14.8549","14.6069","14.9129","14.5218","1.70%"
"Jul 07, 2020","14.6069","14.6317","14.6903","14.4018","-0.15%"
"Jul 06, 2020","14.6293","14.4894","14.7074","14.3646","0.97%"
"Jul 03, 2020","14.4894","14.3975","14.5316","14.3750","0.64%"
"Jul 02, 2020","14.3975","14.4403","14.5101","14.2226","-0.31%"
"Jul 01, 2020","14.4420","14.6883","14.8895","14.3144","-1.68%"
"Jun 30, 2020","14.6883","14.5186","14.7479","14.4372","1.17%"
"Jun 29, 2020","14.5181","14.4044","14.5843","14.3617","0.64%"
"Jun 26, 2020","14.4264","14.3346","14.5349","14.1956","0.61%"
"Jun 25, 2020","14.3386","14.0942","14.3559","14.0271","1.73%"
"Jun 24, 2020","14.0948","14.3223","14.4171","13.9459","-1.58%"
"Jun 23, 2020","14.3205","14.2176","14.4363","14.1650","0.69%"
"Jun 22, 2020","14.2221","14.2603","14.5625","14.1649","-0.34%"
"Jun 19, 2020","14.2702","13.9988","14.3982","13.9669","1.93%"
"Jun 18, 2020","14.0000","13.9416","14.1362","13.8400","0.42%"
"Jun 17, 2020","13.9410","13.8988","14.0541","13.7822","0.34%"
"Jun 16, 2020","13.8944","13.7916","13.9444","13.6470","0.74%"
"Jun 15, 2020","13.7927","13.9574","14.0570","13.5132","-1.18%"
"Jun 12, 2020","13.9577","14.0113","14.1186","13.8522","-0.37%"
"Jun 11, 2020","14.0091","14.2207","14.3721","13.8795","-1.48%"
