"Date","Price","Open","High","Low","Change %"
"Jun 25, 2020","17.905","17.483","17.905","17.435","2.05%"
"Jun 24, 2020","17.545","17.860","18.075","17.415","-2.39%"
"Jun 23, 2020","17.975","17.840","18.028","17.663","0.70%"
"Jun 22, 2020","17.850","17.654","18.045","17.634","1.31%"
"Jun 19, 2020","17.620","17.530","17.820","17.360","0.54%"
"Jun 18, 2020","17.525","17.485","17.692","17.305","-0.60%"
"Jun 17, 2020","17.630","17.430","17.645","17.300","1.21%"
"Jun 16, 2020","17.420","17.378","17.600","17.230","-0.14%"
"Jun 15, 2020","17.445","17.457","17.586","16.955","-0.26%"
"Jun 12, 2020","17.490","17.615","17.772","17.383","-1.33%"
"Jun 11, 2020","17.725","18.124","18.170","17.475","-3.14%"
"Jun 10, 2020","18.300","17.533","18.315","17.524","3.89%"
"Jun 09, 2020","17.615","17.761","17.800","17.455","-1.65%"
"Jun 08, 2020","17.910","17.386","17.925","17.315","2.90%"
"Jun 05, 2020","17.405","17.760","17.815","17.215","-1.94%"
"Jun 04, 2020","17.750","17.750","17.868","17.450","0.31%"
"Jun 03, 2020","17.695","18.100","18.130","17.459","-2.35%"
"Jun 02, 2020","18.120","18.285","18.389","17.773","-0.96%"
"Jun 01, 2020","18.295","17.885","18.439","17.885","2.41%"
"May 29, 2020","17.865","17.430","17.935","17.263","2.38%"
"May 28, 2020","17.450","17.277","17.526","17.170","0.72%"
"May 27, 2020","17.325","17.120","17.380","16.849","1.14%"
"May 26, 2020","17.130","17.123","17.478","17.015","-0.70%"
"May 25, 2020","17.250","17.202","17.260","16.883","0.23%"
"May 22, 2020","17.210","17.010","17.257","16.703","0.70%"
"May 21, 2020","17.090","17.510","17.595","16.875","-2.45%"
"May 20, 2020","17.520","17.440","17.645","17.268","0.52%"
"May 19, 2020","17.430","16.995","17.500","16.963","1.37%"
"May 18, 2020","17.195","16.635","17.577","16.635","3.30%"
"May 15, 2020","16.645","15.875","16.740","15.760","4.78%"
"May 14, 2020","15.885","15.563","15.955","15.438","1.40%"
"May 13, 2020","15.665","15.446","15.665","15.327","1.49%"
"May 12, 2020","15.435","15.493","15.650","15.336","-0.90%"
"May 11, 2020","15.575","15.505","15.625","15.270","0.61%"
"May 08, 2020","15.480","15.350","15.646","15.210","-0.29%"
"May 07, 2020","15.525","14.842","15.528","14.819","3.88%"
"May 06, 2020","14.945","14.967","15.180","14.815","-0.66%"
"May 05, 2020","15.045","14.798","15.055","14.710","1.21%"
"May 04, 2020","14.865","14.974","15.082","14.726","-0.67%"
"May 01, 2020","14.965","14.948","15.065","14.735","-0.53%"
"Apr 30, 2020","15.045","15.270","15.515","14.715","-2.21%"
"Apr 29, 2020","15.385","15.194","15.400","15.084","1.12%"
"Apr 28, 2020","15.215","15.203","15.243","14.905","-0.52%"
"Apr 27, 2020","15.295","15.259","15.355","15.010","0.23%"
"Apr 24, 2020","15.260","15.255","15.406","15.025","-0.42%"
"Apr 23, 2020","15.325","15.093","15.455","14.960","0.99%"
"Apr 22, 2020","15.175","14.880","15.182","14.685","1.54%"
"Apr 21, 2020","14.945","15.318","15.350","14.520","-2.92%"
"Apr 20, 2020","15.395","15.146","15.448","15.049","1.42%"
"Apr 17, 2020","15.180","15.545","15.565","15.033","-2.97%"
"Apr 16, 2020","15.645","15.487","15.645","15.201","0.94%"
"Apr 15, 2020","15.500","15.759","15.795","15.265","-2.12%"
"Apr 14, 2020","15.835","15.361","15.860","15.333","2.33%"
