"Symbol: ^XAGJPY",,,,,,"Study: VOL",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2019-04-02,1679.88,1680.75,1664.41,1680.14,0.75,3959,
2019-04-03,1679.54,1691.12,1673.72,1684.27,4.129999999999882,3863,
2019-04-04,1684.84,1690.06,1662.49,1688.02,3.75,3953,
2019-04-05,1685.18,1695.61,1683.61,1684.53,-3.490000000000009,3777,
2019-04-08,1685.29,1700.38,1682.69,1696.98,12.450000000000045,3799,
2019-04-09,1695.55,1701.28,1688.23,1688.85,-8.13000000000011,3848,
2019-04-10,1688.24,1695.69,1681.53,1688.3,-0.5499999999999545,3841,
2019-04-11,1685.21,1691.16,1662.15,1668.14,-20.159999999999854,3886,
2019-04-12,1669.46,1687.43,1667.72,1674.63,6.490000000000009,3902,
2019-04-15,1676.39,1680.34,1662.57,1675.82,1.1899999999998272,3906,
2019-04-16,1658.12,1678.7,1658.12,1676.16,0.3400000000001455,3897,
2019-04-17,1677.49,1687.82,1669.42,1676.19,0.029999999999972715,4320,
2019-04-18,1676.08,1678.01,1668.69,1677.16,0.9700000000000273,4368,
2019-04-19,1665.49,1665.95,1665.49,1665.88,-11.279999999999973,2,
2019-04-22,1676.23,1684.93,1675.99,1677.18,11.299999999999955,3891,
2019-04-23,1677.54,1678.52,1650.54,1656.92,-20.25999999999999,3899,
2019-04-24,1656.45,1675.93,1651.67,1673.31,16.389999999999873,3938,
2019-04-25,1672,1673.16,1660.97,1665.89,-7.419999999999845,3561,
2019-04-26,1663.41,1680.99,1663.41,1680.44,14.549999999999955,3540,
2019-04-29,1678.99,1679.76,1662.03,1662.03,-18.410000000000082,3561,
2019-04-30,1662.37,1667.7,1651.06,1663.28,1.25,3565,
2019-05-01,1662.94,1663.69,1631.2,1631.75,-31.529999999999973,3450,
2019-05-02,1620.53,1636.91,1620.53,1627.95,-3.7999999999999545,3619,
2019-05-03,1627.89,1661.74,1624.14,1655.97,28.019999999999982,3920,
2019-05-06,1649.94,1654.68,1635.86,1648.53,-7.440000000000055,3930,
2019-05-07,1649.34,1650.83,1635.34,1640.92,-7.6099999999999,3514,
2019-05-08,1638.76,1644.18,1630.43,1630.56,-10.360000000000127,3716,
2019-05-09,1630.56,1631.39,1611.94,1616.81,-13.75,3618,
2019-05-10,1622.95,1629.07,1614.17,1622.2,5.3900000000001,5434,
2019-05-13,1621.86,1621.86,1596.83,1610.9,-11.299999999999955,5327,
2019-05-14,1616.92,1624.95,1610.76,1618.2,7.2999999999999545,5743,
2019-05-15,1619.07,1622.79,1612.59,1618.5,0.2999999999999545,5725,
2019-05-16,1617.74,1621.93,1592.97,1596.2,-22.299999999999955,5727,
2019-05-17,1600.84,1600.84,1578.59,1583.28,-12.920000000000073,5813,
2019-05-20,1583.26,1591.29,1579.76,1588.74,5.460000000000036,6067,
2019-05-21,1588.79,1597.72,1583.78,1593.83,5.089999999999918,6027,
2019-05-22,1593.65,1596.85,1584.01,1590.02,-3.8099999999999454,6144,
2019-05-23,1590.09,1604.64,1586.97,1596.3,6.279999999999973,5863,
2019-05-24,1596.56,1599.99,1588.46,1588.92,-7.379999999999882,6365,
2019-05-27,1590.68,1598.7,1589.05,1594.65,5.730000000000018,5229,
2019-05-28,1593.49,1596.76,1564.15,1566.87,-27.7800000000002,5818,
2019-05-29,1573.51,1580.45,1565.79,1578.28,11.410000000000082,6024,
2019-05-30,1575.67,1596.91,1571.64,1589.22,10.940000000000055,6290,
2019-05-31,1588.27,1591,1574.44,1575.92,-13.299999999999955,5691,
2019-06-03,1577.84,1598.85,1576.06,1594.43,18.50999999999999,5522,
2019-06-04,1596.55,1602.95,1585.81,1599.5,5.069999999999936,5881,
2019-06-05,1600.42,1620.59,1595.4,1603.16,3.660000000000082,5716,
2019-06-06,1602.68,1618.72,1596.59,1611.19,8.029999999999973,5934,
2019-06-07,1611.01,1632.5,1609.58,1621.53,10.339999999999918,5697,
