Date,Open,High,Low,Close,Adj Close,Volume
2019-02-15,15770.000000,15866.599609,15763.400391,15838.200195,15838.200195,255717300
2019-02-19,15856.900391,15953.900391,15831.900391,15937.400391,15937.400391,336230800
2019-02-20,15942.900391,16036.900391,15942.900391,16031.200195,16031.200195,268328500
2019-02-21,16001.900391,16030.700195,15979.700195,16000.900391,16000.900391,298529700
2019-02-22,16038.400391,16071.000000,15997.400391,16013.000000,16013.000000,222858800
2019-02-25,16051.000000,16099.900391,16051.000000,16057.000000,16057.000000,219234400
2019-02-26,16051.000000,16115.799805,16051.000000,16067.900391,16067.900391,266318500
2019-02-27,16043.799805,16077.599609,15990.299805,16074.299805,16074.299805,226354300
2019-02-28,16054.799805,16067.000000,15975.099609,15999.000000,15999.000000,304602900
2019-03-01,16086.299805,16122.099609,16058.099609,16068.299805,16068.299805,243003500
2019-03-04,16088.599609,16093.500000,15955.000000,16038.099609,16038.099609,286358000
2019-03-05,16077.299805,16105.299805,16068.599609,16086.500000,16086.500000,256504000
2019-03-06,16098.700195,16145.799805,16077.599609,16092.099609,16092.099609,272531800
2019-03-07,16079.000000,16085.400391,15981.799805,16056.500000,16056.500000,271719200
2019-03-08,15958.099609,16000.799805,15891.900391,15996.200195,15996.200195,255412900
2019-03-11,16028.099609,16131.900391,16028.099609,16106.200195,16106.200195,250342300
2019-03-12,16142.599609,16149.000000,16099.599609,16136.700195,16136.700195,229111500
2019-03-13,16193.099609,16212.599609,16143.500000,16150.000000,16150.000000,271091300
2019-03-14,16139.400391,16144.500000,16083.099609,16087.599609,16087.599609,196598800
2019-03-15,16156.700195,16174.500000,16123.799805,16140.400391,16140.400391,635539200
2019-03-18,16149.099609,16251.400391,16148.299805,16251.400391,16251.400391,231369100
2019-03-19,16275.299805,16275.299805,16188.099609,16188.099609,16188.099609,250958500
2019-03-20,16168.200195,16214.700195,16118.000000,16167.599609,16167.599609,261723000
2019-03-21,16148.799805,16266.500000,16146.400391,16244.599609,16244.599609,254945500
2019-03-22,16172.900391,16185.400391,16043.900391,16089.299805,16089.299805,325520900
2019-03-25,16066.299805,16113.200195,16021.000000,16065.900391,16065.900391,234398100
2019-03-26,16138.900391,16192.200195,16116.700195,16155.200195,16155.200195,242530400
2019-03-27,16147.400391,16187.400391,16079.099609,16132.500000,16132.500000,244631900
2019-03-28,16094.099609,16173.200195,16094.099609,16155.500000,16155.500000,223248900
2019-03-29,16200.299805,16212.700195,16081.099609,16102.099609,16102.099609,227955800
2019-04-01,16187.900391,16228.099609,16153.599609,16228.099609,16228.099609,233225700
2019-04-02,16240.400391,16263.900391,16194.900391,16263.900391,16263.900391,178277900
2019-04-03,16296.000000,16338.000000,16244.500000,16279.900391,16279.900391,224154600
2019-04-04,16290.000000,16311.599609,16249.900391,16311.599609,16311.599609,189917700
2019-04-05,16337.900391,16396.199219,16330.200195,16396.199219,16396.199219,170618000
2019-04-08,16373.099609,16407.300781,16326.700195,16407.300781,16407.300781,207573900
2019-04-09,16340.599609,16345.900391,16294.299805,16336.500000,16336.500000,175136900
2019-04-10,16369.000000,16409.800781,16368.000000,16396.300781,16396.300781,213547500
2019-04-11,16412.800781,16471.800781,16399.500000,16399.500000,16399.500000,230076600
2019-04-12,16473.900391,16487.099609,16437.300781,16480.500000,16480.500000,195851400
2019-04-15,16459.900391,16532.699219,16443.300781,16515.500000,16515.500000,194884000
2019-04-16,16537.699219,16553.400391,16498.599609,16502.199219,16502.199219,202476900
2019-04-17,16535.900391,16553.400391,16495.699219,16544.199219,16544.199219,333377300
2019-04-18,16558.500000,16615.099609,16557.500000,16612.800781,16612.800781,195729700
2019-04-22,16607.199219,16616.300781,16552.800781,16577.300781,16577.300781,169942700
2019-04-23,16591.599609,16672.699219,16581.099609,16669.400391,16669.400391,221708500
2019-04-24,16642.099609,16666.000000,16572.099609,16586.500000,16586.500000,212959200
2019-04-25,16567.199219,16593.199219,16527.900391,16576.099609,16576.099609,278775000
2019-04-26,16554.300781,16615.199219,16515.500000,16613.500000,16613.500000,282659400
2019-04-29,16612.099609,16642.099609,16589.800781,16600.400391,16600.400391,180944800
2019-04-30,16582.699219,16618.800781,16544.599609,16580.699219,16580.699219,207324200
2019-05-01,16580.599609,16604.900391,16493.800781,16502.800781,16502.800781,220860600
2019-05-02,16485.000000,16492.900391,16402.199219,16410.900391,16410.900391,255495300
2019-05-03,16467.699219,16496.599609,16430.000000,16494.400391,16494.400391,202157100
2019-05-06,16332.799805,16493.500000,16327.099609,16493.500000,16493.500000,197204000
